,biases,tweets
0,80,Giuliani: The Case for Election Fraud Being Made By Americans 
1,80,The great @FoxNews daytime ratings CRASH will only get worse! 
2,80,"RINO Mitt Romney should read this. I’m sure, however, that he feels he got slaughtering by Obama “fair and square”. "
3,80,@justin_hart There will be no lockdowns other than those done by certain Democrat governors!
4,80,Will use these charts in court case. The Election was a HOAX. Thank you Justin! 
5,80,"Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM!… "
6,80,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election 
7,80,"Lawyers now on @newsmax, @OANN &amp; maybe @FoxNews. An open and shut case of voter fraud. Massive numbers!"
8,80,"THE COVID DRUGS NOW AVAILABLE TO MAKE PEOPLE BETTER ARE AMAZING, BUT SELDOM TALKED ABOUT BY THE MEDIA! Mortality rate is 85% down!"
9,80,"“Evidence of voter fraud continues to grow, including 20,000 dead people on the Pennsylvania voters roll and many t… "
10,80,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signatur… "
11,80,Thousands of uncounted votes discovered in Georgia counties. When the much more important signature match takes pla… 
12,80,Important News Conference today by lawyers on a very clear and viable path to victory. Pieces are very nicely falli… 
13,80,"Voter Fraud in Detroit is rampant, and has been for many years!"
14,80,"...And with these numbers, by far the highest for a sitting President, there was no way the Dems could have won, ex… "
15,80,"It was my great honor to help, a tremendous achievement! "
16,80,“Statistical sampling to prove widespread voter fraud...multiple accounts of fraud and voting irregularities may ov… 
17,80,"Look at this in Wisconsin! A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they le… "
18,80,"The Great State of Michigan, with votes being far greater than the number of people who voted, cannot certify the e… "
19,80,"In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!"
20,80,"“The numbers have not improved, it is still 71% out of balance”, stated Wayne County, Michigan,  Canvassers. “There… "
21,80,THEY WOULD’NT LET REPUBLICAN POLL WATCHERS INTO THE COUNTING ROOMS. UNCONSTITUTIONAL!!!
22,80,The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been… 
23,80,They didn’t even allow Republican Observers into the building to watch. A terrible insult to our Constitution! 
24,80,"This was a rigged election. No Republican Poll Watchers allowed, voting machine “glitches” all over the place (mean… "
25,80,"Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened,… "
26,80,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! 
27,80,Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators… 
28,80,"Well, it’s really quite simple. You just can’t have more votes than people! "
29,80,"More votes than people, and that is the least of it!!! "
30,80,"Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems! "
31,80,Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!
32,80,"“Second Georgia County Finds Thousands More Votes, Majority Are For Trump” "
33,80,"The only thing secure about our 2020 Election was that it was virtually impenetrable by foreign powers. On that, th… "
34,80,"...votes from Trump to Biden, late voting, and many more. Therefore, effective immediately, Chris Krebs has been te… "
35,80,"The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were… "
36,80,I have reversed the ridiculous decision to cancel Wreaths Across America at Arlington National Cemetery. It will now go on!
37,80,"Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as Presid… "
38,80,The rate of rejected Mail-In Ballots is 30 X’s lower in Pennsylvania this year than it was in 2016. This is why the… 
39,80,Georgia won’t let us look at the all important signature match. Without that the recount is MEANINGLESS. Open up un… 
